track_id,start_frame,end_frame,duration_frames,start_time_s,end_time_s
80,171,179,9,5.841176470588235,6.114447884416925
83,192,206,15,6.558513931888545,7.036738906088751
32,61,207,147,2.0836945304437564,7.070897832817337
