epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.71678,0.79684,1.91132,1.00419,0.98389,0.79115,0.7619,0.66053,0.2713,0.69098,0.66667,0.55224,0.14324,1.84347,4.22317,1.36961,1.86921,0.00014,0.00014,0.00014
2,16.2385,0.66409,1.20635,0.61935,0.90966,0.32238,0.57143,0.30347,0.1306,0.32238,0.57143,0.28028,0.0694,2.40594,5.12957,2.21807,2.73621,0.00029703,0.00029703,0.00029703
3,22.4426,0.78198,1.15957,0.72212,0.92807,0.53791,0.61905,0.40397,0.12304,0.41042,0.47619,0.24716,0.06265,2.4937,4.25017,1.88184,2.90954,0.000450892,0.000450892,0.000450892
4,28.5868,0.69723,1.29852,0.62224,0.92827,0.52961,0.66667,0.47627,0.25684,0.49136,0.61905,0.41441,0.0977,1.96865,3.5507,1.38245,2.27819,0.000601586,0.000601586,0.000601586
5,34.7673,0.65038,0.87815,0.588,0.90783,0.33445,0.33333,0.33762,0.22355,0.37604,0.2381,0.26755,0.07149,1.12747,3.30978,2.19617,1.40133,0.000749112,0.000749112,0.000749112
6,40.9068,0.75587,1.40457,0.77928,0.97816,0.53563,0.42857,0.50044,0.33376,0.44169,0.38095,0.40656,0.11842,1.07494,3.10309,1.83971,1.32398,0.00089347,0.00089347,0.00089347
7,47.1418,0.7659,1.08083,0.71061,0.93463,0.80719,0.80952,0.83479,0.52661,0.66686,0.71429,0.63379,0.20548,1.05832,2.54892,1.37075,1.29172,0.00103466,0.00103466,0.00103466
8,53.2756,0.94182,1.05095,0.93588,1.04985,0.37062,0.71429,0.43164,0.25552,0.34633,0.55536,0.32375,0.10098,1.2944,3.12862,2.24408,1.4112,0.00117268,0.00117268,0.00117268
9,59.4174,0.71094,0.99004,0.65939,0.93258,0.32887,0.38095,0.21623,0.10537,0.21809,0.52381,0.1758,0.05019,2.24806,3.78224,2.20729,1.98695,0.00130754,0.00130754,0.00130754
10,65.4793,0.73752,0.93434,0.64718,0.95914,0.30107,0.28571,0.20556,0.1089,0.35578,0.33333,0.20693,0.06689,2.47065,3.00522,2.05277,2.2553,0.00143922,0.00143922,0.00143922
11,71.6646,0.80031,0.92169,0.65431,0.92964,0.59179,0.2381,0.22457,0.10928,0.59179,0.2381,0.19216,0.0441,2.88153,4.13049,2.0792,2.53492,0.00156774,0.00156774,0.00156774
12,77.8194,0.82648,0.97052,0.69408,0.99065,0.38778,0.47619,0.39132,0.13946,0.37401,0.38095,0.29521,0.08075,2.4979,3.84049,2.16515,2.25304,0.00169309,0.00169309,0.00169309
13,83.9451,0.7359,0.8516,0.65294,0.95356,0.34906,0.33333,0.28182,0.11438,0.34906,0.33333,0.27591,0.08043,2.57719,4.74246,3.45007,2.74336,0.0017624,0.0017624,0.0017624
14,90.1112,0.7589,0.88817,0.62762,0.95197,0.29711,0.28198,0.23405,0.1166,0.48066,0.2381,0.24163,0.07254,2.68985,4.36834,2.56329,2.78573,0.0017426,0.0017426,0.0017426
15,96.2674,0.68391,0.77076,0.98289,0.82721,0.11405,0.19048,0.08112,0.02938,0.20842,0.2381,0.17182,0.0328,2.43859,4.33055,3.02323,2.16112,0.0017228,0.0017228,0.0017228
16,102.409,0.7501,0.95104,0.65888,0.95145,0.22912,0.32574,0.20741,0.11731,0.34745,0.25423,0.25265,0.05862,2.38612,5.36292,2.86034,2.27934,0.001703,0.001703,0.001703
17,108.447,0.74656,0.87391,0.68625,0.93137,0.4454,0.66667,0.50344,0.19784,0.46406,0.57143,0.51882,0.15786,2.42747,3.59427,3.4443,2.39621,0.0016832,0.0016832,0.0016832
18,114.577,0.71401,0.89561,0.62205,0.9364,0.54893,0.71429,0.54742,0.24138,0.6062,0.7619,0.64608,0.28334,2.06249,1.68188,3.65242,2.08749,0.0016634,0.0016634,0.0016634
19,120.66,0.75064,1.08736,0.61158,0.9478,0.57519,0.80952,0.67008,0.21132,0.5577,0.7619,0.65025,0.25703,2.29701,2.76055,4.24722,2.37216,0.0016436,0.0016436,0.0016436
20,126.789,0.76234,1.05349,0.69375,0.91892,0.43601,0.57143,0.51064,0.17919,0.48957,0.61905,0.51678,0.2004,2.54172,2.74536,3.42103,2.60138,0.0016238,0.0016238,0.0016238
21,132.903,0.78756,0.92333,0.6312,0.92962,0.59327,0.71429,0.61909,0.24083,0.55746,0.66667,0.58095,0.21852,2.37791,2.67791,2.24086,2.47065,0.001604,0.001604,0.001604
22,139.127,0.69963,0.85841,0.58158,0.9052,0.69536,0.76088,0.68597,0.25513,0.73537,0.7944,0.71336,0.2912,2.01484,2.60118,1.65263,1.97445,0.0015842,0.0015842,0.0015842
23,145.294,0.72967,0.84883,0.6278,0.91377,0.56408,0.80129,0.68292,0.30889,0.56408,0.80129,0.6836,0.28833,1.87607,2.416,1.51365,1.83253,0.0015644,0.0015644,0.0015644
